1	Montana	11.6	88.4	100.0
2	Idaho	9.9	90.1	100.0
3	Kentucky	9.9	90.1	100.0
4	New Mexico	9.8	90.2	100.0
5	Ohio	9.1	90.9	100.0
6	Mississippi	8.9	91.1	100.0
7	South Dakota	8.8	91.2	100.0
8	Maine	8.4	91.6	100.0
9	Oklahoma	8.3	91.7	100.0
10	Wyoming	8.3	91.7	100.0
11	Colorado	8.1	91.9	100.0
12	Hawaii	8.1	91.9	100.0
13	Indiana	8.1	91.9	100.0
14	North Carolina	8.1	91.9	100.0
15	West Virginia	8.1	91.9	100.0
16	South Carolina	8.0	92.0	100.0
17	Washington	7.9	92.1	100.0
18	Alaska	7.8	92.2	100.0
19	Iowa	7.8	92.2	100.0
20	Kansas	7.6	92.4	100.0
21	Louisiana	7.6	92.4	100.0
22	Utah	7.5	92.5	100.0
23	California	7.4	92.6	100.0
24	Tennessee	7.4	92.6	100.0
25	Minnesota	7.3	92.7	100.0
26	Vermont	7.1	92.9	100.0
27	North Dakota	6.7	93.3	100.0
28	Arizona	6.5	93.5	100.0
29	Arkansas	6.4	93.6	100.0
30	New York	6.3	93.7	100.0
31	Oregon	6.3	93.7	100.0
32	Missouri	6.2	93.8	100.0
33	District of Columbia	6.1	93.9	100.0
34	Wisconsin	6.0	94.0	100.0
35	Nevada	5.9	94.1	100.0
36	Florida	5.8	94.2	100.0
37	Texas	5.6	94.4	100.0
38	Michigan	5.2	94.8	100.0
39	Nebraska	5.2	94.8	100.0
40	Illinois	5.0	95.0	100.0
41	Maryland	4.9	95.1	100.0
42	Delaware	4.8	95.2	100.0
43	Massachusetts	4.8	95.2	100.0
44	New Jersey	4.5	95.5	100.0
45	Connecticut	4.3	95.7	100.0
46	Virginia	4.3	95.7	100.0
47	New Hampshire	4.1	95.9	100.0
48	Alabama	3.7	96.3	100.0
49	Georgia	3.7	96.3	100.0
50	Rhode Island	3.6	96.4	100.0
51	Pennsylvania	2.9	97.1	100.0
